"Comment","Designator","Footprint","LCSC"
"TXS0108EPW", "U10", "Package_SO:Texas_PW0020A_TSSOP-20_4.4x6.5mm_P0.65mm", "C17206"
"REF3025-AIDBZR","U5","Package_TO_SOT_SMD:SOT-23-3","C11334"
"MCP4922-ESL","U4,U6,U8","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","C39851"
"MCP6022","U3,U7,U9","Package_SO:SOIC-8_5.275x5.275mm_P1.27mm","C57639"
"TPS61023","U1","Package_TO_SOT_SMD:SOT-563","C919459"
"10k","R3,R4","Resistor_SMD:R_0805_2012Metric","C149504"
"100k","R2","Resistor_SMD:R_0805_2012Metric","C441992"
"820k","R1","Resistor_SMD:R_0805_2012Metric","C413229"
"AO3400A","Q1,Q2","Package_TO_SOT_SMD:SOT-23","C20917"
"XEL4030-102MEC","L1","parts:IND_XEL4030-102MEC","C5441341"
"FTSH-105-01-F-DV-P-TR","J8","parts:SAMTEC_FTSH-105-01-F-DV-P-TR","C5136979"
"SM4007PL","D1,D2","Diode_SMD:D_SOD-123","C64898"
"100n","C2,C6,C7,C11,C13,C15,C17,C18,C19","Capacitor_SMD:C_0805_2012Metric","C1711"
"10u","C1,C3,C4,C5,C8,C9,C10,C12,C14,C16","Capacitor_SMD:C_0805_2012Metric","C1713"
"S3B-PH-K-S_LF__SN_", "J1,J2,J3,J4","Connector_JST:JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal","C157929"
